Gender,Age,Average Weekly Exercise Hours,Health Consciousness Rating,Average Daily Screen Time,Social Media Influence Score,Number of Professional Trainings Attended,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
2,28,1.115,3.3726,4.0221,15.3355,2.624,1.5122,3.6192,20.3611,Fitness Enthusiast
1,32,0.0489,1.4293,9.5545,2.6216,1.457,0.0226,3.6383,3.2092,Fitness Enthusiast
2,36,0.0285,2.0114,4.6442,3.2076,3.6782,0.0278,3.884,42.1202,Health-Conscious
1,33,2.2046,0.7768,3.9317,3.4727,4.4531,0.0107,2.7042,84.1764,Fitness Enthusiast
2,50,0.0551,0.8822,4.362,4.0764,4.6003,0.0305,2.0982,93.3627,Social Media Influencer
2,49,0.2639,0.7054,8.7491,3.7739,4.4623,0.0032,3.3505,94.0617,Eco-Friendly
2,31,0.0822,2.6923,4.8426,10.3458,4.1203,0.0167,2.5306,64.2584,Social Media Influencer
1,19,0.0935,4.8097,4.5942,3.0674,4.9798,0.015,4.5838,97.1326,Health-Conscious
1,41,0.1267,1.2854,4.0305,8.1322,3.7624,0.0079,2.1182,40.34,Health-Conscious
2,26,1.6174,0.0262,1.7599,17.2654,4.152,0.0087,2.4092,53.0907,Fitness Enthusiast
2,25,0.372,0.7152,4.9879,5.4174,1.4656,0.0098,4.9541,6.3067,Eco-Friendly
2,54,0.0924,5.1694,4.1307,4.2512,1.3705,0.0132,5.6082,4.453,Health-Conscious
2,31,0.0747,0.8926,4.4789,3.7804,4.478,0.0846,3.7307,82.1678,Eco-Friendly
1,43,0.464,4.9257,3.1868,2.6751,4.6643,0.0307,2.2349,81.3994,Fitness Enthusiast
2,48,0.4918,0.8085,4.7596,3.2,1.7142,0.4196,2.8885,10.0456,Eco-Friendly
2,21,0.366,0.6959,8.6752,0.4258,5.3139,0.0185,0.437,102.5173,Health-Conscious
2,42,0.3667,0.6816,2.8994,2.7092,1.8263,0.0062,2.0816,7.9604,Social Media Influencer
1,19,0.3484,1.2253,2.4627,13.8853,1.1228,1.385,3.3231,1.5121,Fitness Enthusiast
2,41,0.1014,0.7499,5.1272,4.4408,4.3025,0.0031,3.9719,77.3888,Eco-Friendly
1,26,0.0063,4.6551,5.3337,3.6698,2.772,0.0206,4.2646,19.1978,Health-Conscious
1,42,0.034,0.821,0.6001,6.5819,3.8602,0.0068,2.3481,27.5523,Social Media Influencer
1,52,0.0856,3.2151,5.0043,4.3907,1.7453,0.0074,3.9469,6.2709,Fitness Enthusiast
1,49,0.2554,0.8125,5.5689,2.0445,3.6986,0.0017,1.7923,49.9463,Eco-Friendly
2,62,1.0616,0.3863,3.8158,14.0993,3.9281,0.0072,1.574,43.4679,Health-Conscious
2,29,0.5149,0.6096,7.0231,6.7373,3.3279,0.0172,6.1759,41.717,Social Media Influencer
1,52,0.0218,0.7927,6.2762,3.0413,2.9877,0.005,3.1234,26.4509,Eco-Friendly
2,41,0.0161,0.7733,1.6272,1.7156,2.4908,0.0116,1.9226,12.8116,Eco-Friendly
1,36,0.0139,0.9683,3.0102,3.7231,5.9343,0.0282,3.8977,99.756,Health-Conscious
1,47,0.079,6.4477,7.6898,4.2401,3.8742,0.0106,5.0937,60.4096,Health-Conscious
1,40,0.0774,0.5912,6.3904,5.6509,3.7046,0.0005,5.3431,52.8044,Health-Conscious
2,51,0.716,3.6233,6.8626,4.2594,4.0662,0.0193,3.2055,71.8753,Fitness Enthusiast
1,34,0.0202,1.7863,4.3571,3.284,4.0012,1.4075,4.4358,55.1738,Health-Conscious
2,41,0.0765,1.7943,6.4247,12.1715,2.0179,0.0177,4.8636,9.5468,Social Media Influencer
1,36,0.1028,0.5601,3.1768,17.8742,1.7486,0.0146,4.5485,7.4874,Health-Conscious
2,43,0.0121,0.7174,3.2041,1.8007,2.8833,0.012,1.4317,18.0742,Eco-Friendly
1,28,0.0947,0.6589,7.6831,8.0297,3.681,1.6836,2.0229,50.1305,Social Media Influencer
2,21,0.0696,0.9562,2.1207,4.2897,3.2432,0.0118,3.0216,23.9331,Social Media Influencer
2,70,0.0085,0.7239,8.5097,6.3533,0.6184,0.0293,1.5498,3.3009,Social Media Influencer
2,38,0.5424,4.6951,7.1795,4.2314,3.3975,0.0225,4.3438,39.5669,Health-Conscious
2,27,0.1496,0.7388,2.5506,3.9851,2.4396,0.0094,2.9699,12.9355,Eco-Friendly
1,34,0.615,2.3978,1.0459,13.3526,2.084,0.0001,2.2289,6.6959,Fitness Enthusiast
2,37,0.037,0.7399,5.2961,3.9978,3.7586,0.0266,3.9063,48.9553,Eco-Friendly
1,25,0.6943,1.0775,4.1921,7.1484,2.1681,1.5173,1.5046,14.3029,Fitness Enthusiast
1,40,0.0424,0.6694,3.1562,7.8778,2.7717,0.0154,6.7659,18.8222,Eco-Friendly
2,32,0.1652,4.9249,6.071,9.165,1.0069,0.0194,4.5308,1.2805,Health-Conscious
1,36,0.9825,0.6341,2.8226,8.3757,0.8655,0.0504,5.5256,3.1721,Eco-Friendly
2,33,0.0506,0.6695,2.2449,4.5933,3.7881,0.0365,3.95,38.9612,Eco-Friendly
1,57,0.1326,0.7587,2.6943,3.7407,1.1055,0.0161,3.4707,4.406,Social Media Influencer
2,19,0.2065,0.7263,1.8958,1.9263,4.5428,0.0095,1.2452,80.4082,Eco-Friendly
1,37,0.0563,0.7092,5.5495,3.6889,3.1094,0.0013,3.5184,29.0651,Eco-Friendly
1,27,1.7779,0.7412,2.9386,3.2769,2.4339,0.0269,3.4068,8.7612,Eco-Friendly
1,28,0.9378,0.0474,2.9865,14.5877,4.4274,0.008,2.5823,76.5414,Fitness Enthusiast
1,44,0.312,5.394,4.1809,3.3508,5.0271,0.0235,4.1691,95.2232,Health-Conscious
1,44,0.1955,3.3702,7.8263,2.3761,3.6779,0.0423,2.2954,46.7918,Health-Conscious
2,32,0.0861,0.7614,2.5975,5.0438,4.8369,0.0085,3.1965,90.638,Eco-Friendly
1,62,0.8515,0.6533,1.6043,6.2055,3.7227,0.0291,3.3041,39.0343,Eco-Friendly
1,25,0.4262,0.4398,5.5138,13.8782,5.4248,0.0085,2.0674,101.9135,Health-Conscious
1,29,0.0383,0.7538,8.6969,3.98,2.8608,0.0003,3.4469,28.7047,Eco-Friendly
2,24,0.0167,3.5244,3.2331,8.4978,2.5038,0.001,4.5402,12.9917,Social Media Influencer
2,49,0.0839,0.7467,7.1073,4.5592,2.8535,0.015,4.2508,24.485,Eco-Friendly
2,50,0.2739,4.8141,8.0129,4.6736,1.0025,0.012,5.0217,3.7465,Health-Conscious
1,62,0.0346,0.7617,11.0355,3.438,3.0215,0.0142,2.6015,31.3875,Health-Conscious
2,32,0.0886,0.788,2.8192,3.7871,2.6589,1.7955,3.5154,20.0564,Health-Conscious
1,37,0.0285,0.5562,6.1027,6.4379,1.7947,0.1098,3.5412,7.2594,Eco-Friendly
1,35,0.0576,0.3603,4.957,11.1435,4.2851,2.1391,2.7732,66.502,Social Media Influencer
2,50,0.0403,0.8099,8.2577,3.409,2.3028,0.012,3.2598,14.6509,Health-Conscious
2,22,0.0639,0.6888,4.3976,2.3987,2.6973,0.0248,1.9004,19.7175,Eco-Friendly
1,27,0.033,0.7058,5.3866,4.4503,6.1912,0.0067,3.2871,102.0207,Health-Conscious
2,39,0.0319,0.7665,1.2045,3.802,2.6923,0.0043,2.7484,16.5635,Eco-Friendly
2,25,0.03,0.8555,5.6169,6.5619,5.0752,1.624,5.364,88.7032,Eco-Friendly
1,52,0.0775,0.7227,0.1365,9.9455,2.9756,0.0065,3.667,14.0795,Social Media Influencer
2,23,0.0123,0.6401,4.3718,6.5085,3.7788,1.191,5.009,48.0987,Eco-Friendly
2,27,0.3108,0.7488,1.8323,7.788,3.8861,0.0082,2.6714,38.0185,Social Media Influencer
1,67,0.0764,3.976,7.3529,8.7898,2.3255,0.0046,3.7902,12.9971,Eco-Friendly
1,41,0.0976,4.8621,5.5288,6.99,2.927,0.0222,2.4306,24.088,Social Media Influencer
2,25,2.3704,0.1809,3.6385,9.5953,5.5986,0.81,3.2863,102.4091,Fitness Enthusiast
2,47,0.0024,4.1078,4.5464,3.537,2.4477,0.0201,5.1084,10.5219,Health-Conscious
2,21,0.0697,0.7075,4.9246,4.4162,4.4896,0.0072,4.117,88.533,Eco-Friendly
2,27,0.3134,7.3499,4.9465,1.5997,4.4781,0.0141,3.0397,75.8041,Health-Conscious
1,35,0.1026,4.8642,2.953,10.1665,4.6796,0.0375,2.3671,80.1675,Social Media Influencer
2,26,0.0801,3.29,6.2333,6.4837,2.9944,0.0222,5.6125,26.8196,Health-Conscious
1,20,1.7293,3.1016,4.6253,10.552,1.3863,1.4007,2.324,5.7595,Fitness Enthusiast
1,34,0.656,0.2722,3.2016,8.1251,4.5689,1.1863,2.2546,63.7097,Fitness Enthusiast
2,29,0.0845,0.6052,4.2101,6.4392,3.6783,0.0211,2.4629,42.0383,Health-Conscious
1,44,0.0414,1.7011,7.2985,4.7123,4.2755,0.0206,5.5804,85.1652,Health-Conscious
1,30,0.1379,1.5726,5.1312,13.215,4.9336,0.0033,3.6762,97.604,Health-Conscious
2,20,0.3985,0.8279,7.3771,3.588,3.0271,0.3798,3.3078,29.1328,Eco-Friendly
1,51,0.0701,0.569,6.7687,8.3397,3.8426,0.0061,3.8404,55.2806,Health-Conscious
2,37,0.093,0.748,0.5483,4.7012,5.1455,0.0405,3.6451,80.8167,Eco-Friendly
2,26,0.2068,0.6549,7.1165,9.5374,2.7607,0.0011,3.7817,24.8245,Fitness Enthusiast
2,54,1.6664,4.1407,4.2331,13.0437,1.4728,0.0343,3.1338,6.4624,Fitness Enthusiast
1,32,0.141,0.7247,5.9279,4.1883,3.3339,0.0033,3.0707,32.9395,Eco-Friendly
1,39,0.0535,0.6451,1.1423,2.9843,4.327,0.0057,2.3486,53.8471,Health-Conscious
2,49,0.1084,0.6639,7.209,5.2171,3.2868,0.0219,3.8123,38.9919,Eco-Friendly
2,33,2.9188,3.0784,5.6552,10.1792,5.9098,1.2232,2.6934,109.6285,Fitness Enthusiast
1,47,2.6361,0.4302,1.9502,3.5619,3.0559,0.8245,2.3767,17.6501,Health-Conscious
1,46,0.0445,3.7609,6.0412,1.3518,3.7883,0.0295,3.2987,52.3595,Health-Conscious
2,33,0.0952,0.6385,7.2171,4.11,5.2857,0.0073,3.3658,102.3615,Eco-Friendly
1,36,0.1023,0.8639,1.8076,4.8506,3.7342,0.0184,3.4589,28.0833,Health-Conscious
1,26,0.0048,0.8711,7.0131,2.5784,3.2155,0.0372,2.2928,29.6706,Health-Conscious
2,37,1.0859,0.5305,3.2433,7.9263,0.5149,0.0093,1.6885,1.2184,Social Media Influencer
2,48,0.046,0.5884,6.4212,5.3686,0.9413,0.0086,1.2043,2.1822,Eco-Friendly
2,21,0.2064,0.726,6.5759,11.2037,3.7251,0.0082,3.4845,46.1012,Health-Conscious
1,61,0.1609,0.8719,4.8554,6.3782,3.278,0.0311,3.5942,33.0919,Health-Conscious
2,39,0.2829,0.7112,2.5837,4.4769,2.952,0.8966,4.4006,25.6079,Social Media Influencer
2,30,0.0472,0.6914,2.3727,3.8222,5.138,0.0008,3.2099,90.9681,Health-Conscious
1,63,0.0994,0.7169,5.0536,3.8746,1.6156,0.664,3.2871,7.6597,Eco-Friendly
2,37,0.0398,0.6407,5.6314,5.8831,1.6269,0.0097,3.0773,7.3305,Social Media Influencer
2,57,0.1471,0.6497,9.3862,5.4168,4.5076,0.029,4.0501,96.5488,Health-Conscious
1,49,0.0307,2.3074,6.1097,12.5734,0.5753,0.0011,5.0094,2.1047,Social Media Influencer
1,33,0.0822,0.6814,5.1495,7.5355,2.7924,0.0015,1.2188,20.6173,Social Media Influencer
2,25,0.0497,2.7208,6.4744,0.9328,3.7919,0.0457,1.5173,51.5797,Health-Conscious
1,58,0.4815,3.3509,5.2906,7.1391,3.9365,0.0109,3.0285,62.8338,Fitness Enthusiast
2,19,0.0117,4.4441,5.5151,13.2208,3.2871,1.7842,4.8411,36.9162,Health-Conscious
2,49,0.0816,0.7067,3.6258,4.9226,4.1102,0.0261,4.4818,62.331,Eco-Friendly
1,32,0.021,0.7743,8.2356,3.0898,4.1685,0.0088,3.1499,86.1382,Eco-Friendly
1,37,1.5823,0.7692,2.1547,2.9999,0.3796,0.0136,2.131,0.2846,Fitness Enthusiast
2,38,0.0783,0.9284,1.5502,4.4362,6.3595,0.0257,3.0113,99.4752,Eco-Friendly
1,39,0.0036,2.8923,6.9038,3.6508,2.5906,0.0624,5.7581,17.4627,Health-Conscious
2,33,1.159,0.78,3.6102,0.6251,4.035,0.011,0.5757,63.4258,Eco-Friendly
1,30,0.0814,0.7784,2.3377,1.6096,4.2466,0.0215,1.2584,84.9202,Social Media Influencer
2,23,0.5569,1.5313,0.7544,11.441,4.2754,0.0018,2.9845,52.1444,Fitness Enthusiast
1,55,0.7891,0.8325,3.0585,4.3285,2.1514,0.0085,4.2775,11.2615,Social Media Influencer
1,60,0.0382,0.7249,5.1643,3.2051,3.3132,0.0606,3.4068,34.6636,Eco-Friendly
2,27,0.6264,0.0587,7.1138,25.6921,3.9597,0.0231,3.5472,61.6794,Fitness Enthusiast
2,29,0.0597,0.6659,2.8813,5.9786,4.3862,0.1859,5.3711,69.8288,Eco-Friendly
1,50,0.0582,0.6833,6.8268,2.6005,3.2196,0.0048,2.4677,40.9043,Eco-Friendly
1,36,0.0102,0.7581,1.6571,5.0386,2.0497,0.0122,1.5203,10.3892,Social Media Influencer
2,34,0.0557,5.194,1.7462,0.252,3.6052,0.0106,1.8778,27.2729,Health-Conscious
2,69,0.1192,0.736,5.7062,7.6815,4.3231,0.007,4.3126,86.2196,Health-Conscious
2,37,0.1188,0.6188,3.3671,3.8521,3.5281,0.0143,3.8077,34.6223,Eco-Friendly
1,29,0.0233,0.735,3.0736,3.5572,3.5452,0.0101,3.3769,34.0376,Eco-Friendly
2,22,0.002,0.5709,2.8189,5.8475,4.0763,0.0408,4.5333,64.0748,Eco-Friendly
1,19,0.033,3.949,5.5194,2.227,1.1054,0.0162,4.4194,3.5962,Health-Conscious
2,34,0.0069,0.6656,9.7898,5.648,2.3299,1.4223,3.6635,18.8374,Social Media Influencer
2,20,0.8493,0.7056,4.1786,2.125,5.3078,1.2599,1.8703,93.3656,Eco-Friendly
2,30,0.3468,2.7783,4.2023,4.6017,4.6002,0.0127,3.5515,88.8178,Fitness Enthusiast
2,30,0.041,0.6652,3.6159,2.6302,4.5299,0.0069,2.2274,90.4168,Eco-Friendly
2,44,0.1235,1.567,5.4062,6.4556,3.2615,0.0228,4.8682,30.4866,Health-Conscious
2,33,2.486,1.0083,5.5278,13.4692,2.7634,0.9588,4.7655,21.9971,Fitness Enthusiast
1,23,0.0432,3.4447,3.4401,8.058,1.8587,0.0031,1.398,8.8323,Social Media Influencer
1,28,0.1389,5.8147,6.9168,10.2567,2.7071,0.9304,5.0117,23.8906,Health-Conscious
1,42,0.0877,0.7686,1.9359,1.8318,3.0855,0.0006,1.9375,26.0674,Eco-Friendly
2,19,0.1749,0.71,5.7662,5.2151,4.3193,0.0243,4.3926,77.6153,Eco-Friendly
2,49,0.4129,6.4105,5.7978,6.6183,5.7751,0.0173,3.4334,102.5966,Fitness Enthusiast
2,21,0.0119,0.6951,2.2678,2.6392,4.725,0.0548,0.7672,85.6828,Eco-Friendly
2,30,0.0906,3.4076,8.8712,8.9333,3.7758,0.013,3.8219,55.2084,Health-Conscious
2,27,0.8492,0.6245,1.7607,9.2197,5.7192,0.0378,3.844,99.2382,Eco-Friendly
1,34,0.4273,0.3511,5.5694,8.2843,2.5165,0.0003,3.1739,14.4425,Fitness Enthusiast
2,42,0.006,0.6945,1.1853,4.6878,3.5771,0.0189,3.4074,25.7126,Eco-Friendly
2,21,0.0126,0.601,3.5698,5.0652,3.4143,0.0065,4.6456,31.5156,Eco-Friendly
2,35,1.0565,0.7112,2.5531,3.7885,3.5198,0.0098,2.9814,33.9732,Eco-Friendly
2,21,0.0283,3.3765,7.8811,3.6171,4.0469,0.0169,4.9566,65.9649,Health-Conscious
1,52,0.0773,0.6573,6.931,4.7404,2.8825,0.0041,3.4015,26.9349,Eco-Friendly
1,47,0.0885,1.0919,5.5447,2.8879,4.8225,0.0147,2.6321,98.2451,Eco-Friendly
2,40,0.0494,0.6718,7.7754,1.5567,0.9579,0.0085,1.222,2.8891,Eco-Friendly
2,49,0.1036,0.7422,7.2539,4.7918,3.9043,0.0293,3.3491,66.7818,Social Media Influencer
1,33,0.0491,2.9944,2.1497,3.1724,3.438,0.0119,4.0834,22.9678,Health-Conscious
1,60,0.0511,1.3978,4.2262,10.0863,6.7565,0.0007,2.2964,101.7975,Eco-Friendly
1,36,0.0289,0.7531,1.5917,6.0755,4.1986,0.0171,4.1661,49.2675,Eco-Friendly
1,56,0.0557,0.6246,4.5674,7.9966,2.6628,0.0081,3.8868,15.8194,Health-Conscious
2,38,0.0123,2.0852,1.8304,3.7671,4.5235,0.9995,5.0523,53.8155,Health-Conscious
1,45,0.0074,0.8393,4.9478,8.1704,5.1301,0.827,3.2731,95.28,Social Media Influencer
1,36,0.0297,2.2376,5.1756,7.3999,4.8408,0.0197,3.8062,96.5375,Social Media Influencer
1,44,0.4336,3.7871,2.3899,1.1234,5.1638,0.0096,1.533,88.9579,Fitness Enthusiast
1,25,0.0068,0.6192,3.5285,4.0374,4.1957,0.5735,4.1639,60.1346,Eco-Friendly
2,33,0.1623,3.8458,6.5459,2.3876,2.9724,0.0261,3.0373,25.3465,Health-Conscious
2,28,0.0962,0.7264,5.114,0.657,4.3842,0.0312,0.8874,88.9831,Social Media Influencer
2,29,0.1258,0.9141,7.0886,5.9045,4.1686,0.0146,4.5212,72.286,Health-Conscious
1,27,1.3219,0.4007,3.0471,5.0692,3.2033,1.2433,2.9742,26.044,Fitness Enthusiast
2,19,0.3468,3.3233,5.3296,14.0763,3.571,0.0091,1.7397,42.9612,Social Media Influencer
1,21,0.0428,0.7775,2.0963,4.4651,3.8095,0.1243,3.213,34.5644,Eco-Friendly
2,36,0.1637,1.0961,7.3481,8.2611,0.896,0.0733,3.2397,3.1846,Health-Conscious
1,43,0.0837,4.4496,3.6175,3.5118,3.3381,1.3836,5.4232,29.2456,Health-Conscious
2,29,1.1585,0.1659,3.0235,7.3885,0.742,1.2292,1.0916,1.3571,Fitness Enthusiast
1,40,0.0735,5.787,4.9143,4.3333,2.6579,0.0278,4.9924,14.8617,Health-Conscious
2,36,0.2792,4.89,2.9678,8.114,4.999,0.0367,5.4612,90.5664,Health-Conscious
1,50,0.0016,0.6487,2.6227,10.9952,3.5498,0.0045,5.6072,30.3254,Social Media Influencer
2,37,0.051,1.2437,6.18,3.7074,2.6024,0.0346,3.9242,16.6301,Health-Conscious
2,28,0.0217,0.7675,3.4818,2.65,5.2755,0.0055,2.6186,96.9311,Eco-Friendly
1,27,0.0551,1.6348,0.5796,5.9107,3.8707,0.003,4.2313,26.5093,Health-Conscious
1,34,0.4528,0.2365,6.0455,13.8421,3.6191,0.0079,2.6023,44.8239,Health-Conscious
2,63,0.0549,0.644,6.1125,4.3833,1.0268,0.008,3.4216,4.7083,Health-Conscious
2,30,0.0804,0.8025,2.9138,3.3797,4.1297,0.0001,3.4251,80.2102,Eco-Friendly
1,46,0.1117,0.7697,4.9155,2.8604,5.3856,0.0312,2.6673,98.9191,Eco-Friendly
1,36,1.4624,2.0368,2.8098,10.0357,1.8373,0.0083,2.4705,7.9788,Fitness Enthusiast
1,36,0.0255,0.6648,7.2607,4.5588,3.0902,0.0085,4.296,31.2297,Eco-Friendly
2,19,0.9795,0.6141,5.3479,3.9732,2.4731,1.1812,3.8031,19.9274,Eco-Friendly
1,35,0.0405,0.6079,7.1634,6.3717,1.307,1.4404,2.4967,6.3811,Social Media Influencer
1,33,0.5946,0.1615,9.4305,15.6184,3.2615,0.0035,3.6375,42.2106,Health-Conscious
2,38,0.0628,0.8111,7.0291,6.3376,5.2613,0.0047,4.5445,98.7245,Social Media Influencer
2,22,0.0288,1.7404,3.0836,5.6769,4.0103,0.0347,2.6064,55.6968,Social Media Influencer
1,44,0.297,5.7389,3.9954,4.9288,3.973,0.0248,3.8147,48.318,Health-Conscious
1,59,3.9556,0.6068,4.368,4.3021,5.0038,0.776,3.854,88.142,Fitness Enthusiast
1,32,0.3883,1.0053,6.7506,0.605,4.3124,0.0017,0.9171,87.3756,Social Media Influencer
1,36,4.9667,0.9996,5.4233,3.2435,0.4946,0.0001,2.3918,2.0542,Fitness Enthusiast
2,30,0.0139,0.5941,6.541,11.9013,2.9909,0.0097,4.5938,27.3406,Health-Conscious
2,31,0.1259,2.2473,4.0932,2.4345,5.5135,0.0238,3.6962,98.8716,Health-Conscious
1,25,0.0372,0.5678,5.1552,4.2453,3.1429,0.0373,3.9076,28.8686,Eco-Friendly
1,36,0.0414,0.634,4.5701,4.9639,2.1348,0.0112,4.5341,10.5567,Health-Conscious
1,30,0.0208,0.7683,6.0105,2.7695,5.1841,0.0004,2.6844,100.2733,Eco-Friendly
2,55,0.0781,1.4015,3.0852,9.4184,2.9685,0.0148,3.559,18.8008,Eco-Friendly
2,32,0.0187,1.6275,6.6441,2.219,3.5143,0.0307,2.8471,41.8572,Health-Conscious
2,52,0.0237,5.1339,3.0468,2.6206,2.1208,0.0056,4.4977,6.2029,Health-Conscious
2,24,0.0591,0.7478,5.5594,4.6611,2.923,0.0153,4.6262,25.8094,Eco-Friendly
1,53,3.3354,0.5536,3.3932,8.9726,5.1799,0.8171,2.5049,92.651,Fitness Enthusiast
1,34,0.2488,3.3083,5.3407,5.3424,2.7526,0.014,2.4445,18.5512,Health-Conscious
1,25,1.7066,0.1089,3.0126,14.4478,1.7626,1.2627,3.2502,7.0339,Fitness Enthusiast
2,24,1.8205,1.5289,4.5387,5.8971,2.6387,0.8374,1.9268,17.4444,Fitness Enthusiast
2,20,0.216,0.6415,8.8525,4.2422,2.9452,0.0219,3.7831,32.5349,Health-Conscious
2,55,0.0086,0.7496,5.1076,2.0889,7.8453,0.0114,2.0689,100.8782,Health-Conscious
2,37,0.1681,0.8359,2.3405,4.5423,3.7223,0.0129,4.4489,46.3576,Eco-Friendly
1,48,1.02,2.6835,3.13,19.8448,3.5767,0.0419,1.2393,33.9472,Social Media Influencer
2,37,0.1222,4.283,5.8451,2.8974,2.3728,0.0134,2.6499,14.5483,Health-Conscious
1,62,0.0936,1.7447,3.5752,20.3044,5.1438,1.5907,2.9109,81.8414,Social Media Influencer
1,24,0.1265,0.8823,7.0207,1.4597,4.5693,0.0071,0.9676,94.5428,Social Media Influencer
2,27,0.0838,0.7479,4.1216,3.5124,2.5417,0.0361,2.1248,18.3752,Eco-Friendly
2,49,0.0131,1.0784,4.605,5.4526,3.4394,0.0244,5.9205,35.078,Health-Conscious
1,51,0.0566,0.9157,1.7352,7.712,4.385,0.0096,4.6079,56.2831,Health-Conscious
1,33,0.125,0.4852,5.4271,14.7149,1.7532,0.015,4.5319,7.2155,Health-Conscious
1,20,0.0431,1.1891,2.8984,7.674,0.9945,0.0021,2.2879,3.0451,Social Media Influencer
1,42,0.0338,0.7701,5.2702,3.7379,3.5975,0.0263,3.4663,43.1988,Eco-Friendly
1,26,0.0382,1.6425,1.4582,3.7494,4.866,0.0253,4.7351,77.9838,Health-Conscious
2,32,0.1615,1.2762,3.3363,10.1339,3.765,0.0096,3.9749,39.0335,Fitness Enthusiast
1,46,0.1783,0.6428,6.6498,6.1508,3.9669,0.0241,1.7439,61.7021,Health-Conscious
1,45,0.0754,0.9966,0.8405,4.2817,4.5466,0.0112,3.6503,56.5884,Health-Conscious
2,30,1.7753,2.9182,3.4913,6.0057,2.4956,0.025,2.02,11.6959,Fitness Enthusiast
1,23,0.0002,1.2943,5.0616,4.9933,5.5444,0.0369,4.4523,98.2526,Social Media Influencer
1,28,0.0837,0.6212,5.0783,7.8656,3.6939,0.0227,3.4758,45.5874,Health-Conscious
2,49,0.1729,0.7983,4.6062,8.5083,3.7943,0.0106,3.7319,45.4096,Health-Conscious
1,29,1.5426,2.6371,6.0756,9.4125,4.6886,1.4204,2.9721,76.6853,Fitness Enthusiast
1,67,4.6063,0.7617,4.8329,4.079,3.3245,0.017,2.8015,34.0913,Social Media Influencer
1,41,0.0914,3.1727,6.6251,4.5098,3.7628,0.0088,5.9902,49.869,Health-Conscious
2,44,0.0862,3.1079,6.1313,3.4869,2.0117,0.0087,4.4152,8.4635,Health-Conscious
1,29,0.1007,0.7568,2.0272,6.3245,2.4494,0.0379,4.0273,15.7278,Eco-Friendly
2,25,0.1715,0.6673,3.9046,6.0479,4.1193,0.022,6.0327,56.2846,Health-Conscious
2,36,0.1388,2.5852,0.8743,3.0099,3.7291,0.0096,5.0993,25.3602,Health-Conscious
1,55,0.1438,0.7045,5.1825,3.1409,1.9939,0.0296,3.049,6.8192,Health-Conscious
1,25,0.0504,7.117,2.2749,3.0095,3.7592,0.0162,4.6055,36.843,Health-Conscious
1,51,0.1899,5.6179,2.9468,2.6195,1.7252,0.0283,4.5681,3.7194,Health-Conscious
2,26,0.0573,0.6708,2.6256,4.7932,4.0047,0.1245,4.0606,47.7378,Eco-Friendly
2,31,0.0499,1.0408,5.4354,3.6674,3.6736,0.0226,4.8805,44.1124,Health-Conscious
1,33,0.0359,0.7171,6.4445,4.4252,2.2007,0.0166,3.3653,13.7559,Eco-Friendly
2,24,0.1156,0.7584,1.5709,2.7355,1.5323,0.0087,1.8148,6.5023,Eco-Friendly
1,32,0.0984,0.6836,5.081,3.6036,5.8889,0.0189,3.1499,101.9544,Health-Conscious
2,34,0.0489,0.7905,6.063,3.47,1.682,0.0141,3.5578,4.9718,Eco-Friendly
2,28,0.3156,1.2029,3.7089,9.8582,3.6722,0.0175,2.5354,35.5768,Health-Conscious
2,24,3.4297,2.0873,1.3459,13.0486,3.4087,0.0011,2.9265,20.6268,Fitness Enthusiast
2,48,0.0623,0.7058,8.2311,3.3978,3.3166,0.0088,2.6814,39.7506,Eco-Friendly
2,31,1.349,0.9926,5.5844,1.6726,3.3198,0.0006,2.3468,33.1053,Fitness Enthusiast
1,62,0.5575,1.6068,2.2906,9.9465,4.9682,0.0168,2.3969,89.8308,Fitness Enthusiast
1,33,0.029,3.9842,6.4413,11.4632,2.5368,0.0023,4.4689,16.8625,Social Media Influencer
1,34,0.0617,0.7696,6.325,3.2997,2.5991,0.0441,3.582,15.2198,Social Media Influencer
1,29,0.0307,0.4973,4.7378,7.6271,5.4493,1.3987,3.0082,99.1598,Social Media Influencer
1,43,0.1242,5.4097,3.833,9.9216,3.7961,0.008,4.9846,38.997,Health-Conscious
1,53,0.1875,4.0516,6.262,2.9685,0.5985,0.0196,3.7384,0.3618,Health-Conscious
2,26,0.0188,0.7219,5.3892,3.9315,4.5998,0.0091,2.1474,95.9731,Social Media Influencer
2,22,0.0414,2.3199,8.6447,3.6558,6.3894,0.028,4.969,102.7301,Health-Conscious
1,40,0.0051,0.7293,2.2486,3.3463,4.5401,0.7791,3.1512,63.0629,Eco-Friendly
1,59,2.5395,4.9183,2.4343,8.0333,3.6945,0.0065,2.0291,32.2694,Fitness Enthusiast
1,36,0.0828,4.069,0.453,1.8549,3.2246,0.0179,3.2047,14.9782,Health-Conscious
2,30,0.162,0.7541,3.4652,1.4499,2.7755,0.0173,1.7094,18.3055,Eco-Friendly
1,27,0.0303,0.7224,0.5474,3.6564,4.1533,0.0074,3.1273,48.3761,Eco-Friendly
2,60,0.0106,0.9556,1.9473,5.6663,3.9617,0.0124,4.7428,44.724,Eco-Friendly
1,44,0.0472,0.6308,3.0728,5.1027,5.882,1.2485,4.8017,104.6899,Eco-Friendly
2,44,0.0389,2.1803,4.8157,5.0099,5.32,1.2269,3.9076,98.5205,Fitness Enthusiast
